episode,exec_time_s,reward_total,total_profit_cost,user_satisfaction,energy_charged_kwh,energy_discharged_kwh,transformer_overload_kwh,battery_degradation,battery_deg_calendar,battery_deg_cyclic,total_ev_served,seed,phase
89,2.262,-4.7901762089459226,6.95082021221001,0.7380952380952381,170.84504133940513,188.46643891605396,0.0,0.0006943352202493717,6.287455467415915e-05,0.0006314606655752127,3.0,89,Proxy_M2
90,2.263,-7.11826551402919,17.09144744425001,0.5940714285714286,265.20795903428746,366.77148020139236,0.0,0.0011731281423759889,0.00010439507051261855,0.0010687330718633704,6.0,89,Proxy_M2
91,2.229,-11.264327288139611,0.5842299559927326,0.714,161.87704746642368,195.0512320113874,0.0,0.0006590907126502673,5.107947108392162e-05,0.0006080112415663457,4.0,89,Proxy_M2
92,2.255,-13.212425753474236,27.570650756775017,0.4234761904761905,124.70481266022065,237.26974399084403,0.0,0.0007065649008665656,8.759591165962063e-05,0.000618968989206945,6.0,89,Proxy_M2
93,2.262,21.252095493953675,56.57927839650482,0.5285952380952382,181.7935174080659,306.76434246663933,0.0,0.0008963965630857206,8.831561730901353e-05,0.0008080809457767071,6.0,89,Proxy_M2
94,2.293,-7.554216280579567,4.521350326995406,0.6266071428571428,129.61348238712426,161.32977143563153,0.0,0.0005574671722905389,7.496175556536321e-05,0.0004825054167251757,4.0,89,Proxy_M2
95,2.253,-28.217090752441436,6.30452549309752,0.5297714285714286,114.09048218498737,201.39382794631098,0.0,0.0006235825179439423,7.302400485015324e-05,0.000550558513093789,5.0,89,Proxy_M2
96,2.204,-12.814797580242157,-1.0729490516218192,0.568,71.26232632353582,96.06655549498319,0.0,0.00027821765463282574,2.607618406327792e-05,0.00025214147056954784,2.0,89,Proxy_M2
97,2.3,10.825907999183983,14.609089152473704,0.6071785714285713,70.18995036146441,138.69826068528914,0.0,0.0004091078108361612,6.446280080791261e-05,0.0003446450100282486,4.0,89,Proxy_M2
98,2.24,-30.32502789516002,7.339127418170857,0.5508979591836735,175.5501851248027,258.2127922787669,0.0,0.0007528873526520939,9.058155752267025e-05,0.0006623057951294235,7.0,89,Proxy_M2
99,2.275,3.1403697729110718,20.24141482950591,0.4500952380952381,106.22076491929568,175.39633689396945,0.0,0.0005526565497744946,5.459554825300643e-05,0.0004980610015214882,3.0,89,Proxy_M2
0,2.27,-15.009953633416444,8.462959743753524,0.6071428571428572,105.83973665234072,158.85758131532486,0.0,0.0005177248799577328,7.569574878946966e-05,0.00044202913116826313,4.0,42,Direct_M1
1,2.284,1.5980427078902721,3.9534853049753367,0.5634285714285715,102.00077088195114,136.06,0.0,0.00040882036854335085,4.0976047460243454e-05,0.0003678443210831074,4.0,42,Direct_M1
2,2.294,-1.7679472831077891,9.973050199999994,0.7380952380952381,42.300000000000026,55.0,0.0,0.00022649415675962467,6.0035443378640935e-05,0.0001664587133809837,3.0,42,Direct_M1
3,2.281,-3.786866300739348,19.690587200000003,0.6857142857142857,114.17,166.07,0.0,0.0005855672978998224,0.00010202961538401284,0.00048353768251580963,5.0,42,Direct_M1
4,2.284,-58.97981845634058,-58.930724637590494,0.9775510204081633,198.74755697603652,93.5,0.0,0.0006291000534351771,0.00013555525990816334,0.0004935447935270139,7.0,42,Direct_M1
5,2.294,-7.368546738754958,4.3815297897439915,0.8428571428571429,94.15793648272658,98.84858554272807,0.0,0.000387322618734034,9.057847421266707e-05,0.00029674414452136687,5.0,42,Direct_M1
6,2.307,-16.07450906280428,-4.3117212000000045,0.7643571428571428,74.24,83.18,0.0,0.00030509769833742456,4.993979879783864e-05,0.00025515789953958594,4.0,42,Direct_M1
7,2.28,-2.3464176589623094,9.394578816514205,0.7380952380952381,112.5513445328776,132.51685422139687,0.0,0.00047843316907725394,4.4822045931684114e-05,0.00043361112314556984,3.0,42,Direct_M1
8,2.231,-14.946542005520314,-3.1485198160580836,0.8297619047619048,235.56472322767885,204.02,0.0,0.0008110033377294292,8.658271903552107e-05,0.0007244206186939081,6.0,42,Direct_M1
9,2.212,-12.972419993020594,-1.2670953714674291,0.8272285714285715,105.13,89.51783410416574,0.0,0.0004250896492288819,9.372301197770343e-05,0.0003313666372511785,5.0,42,Direct_M1
10,2.305,-1.9275033175945282,-1.9011100000000014,0.9214285714285715,27.86000000000001,11.0,0.0,7.911106111883866e-05,3.9673229754063835e-05,3.943783136477483e-05,2.0,42,Direct_M1
