exec_time_s,reward_total,total_profit_cost,user_satisfaction,energy_charged_kwh,energy_discharged_kwh,transformer_overload_kwh,battery_degradation,battery_deg_calendar,battery_deg_cyclic,total_ev_served,horizon
76.632,-4.717122369898135,-4.698962397993144,1.0,306.3346169999269,253.47064305591488,0.0,0.0008499577508698359,8.684680928757616e-05,0.0007631109415822598,4.0,10
76.713,-2.4784762784181567,-2.460316306513163,1.0,263.14387195461046,219.24016451515052,0.0,0.0007843662454317336,9.794584260681787e-05,0.0006864204028249157,4.0,10
70.816,-13.650652205741057,-13.632492233836063,1.0,323.950243145877,247.4998066608117,0.0,0.001027601410166297,8.860489173603619e-05,0.0009389965184302608,4.0,10
69.685,-3.116677789725378,-3.0985178178203836,1.0,142.43660554138881,93.77555859806439,0.0,0.00034421810113731475,5.328555790951463e-05,0.00029093254322780013,4.0,10
68.527,-11.605890371686383,-11.574110420852643,1.0,621.8099915672813,529.779747793865,0.0,0.0020410896463153205,0.00013470001429359178,0.001906389632021728,7.0,10
71.915,-6.563886795695594,-6.5502668167668485,1.0,101.75841740534543,62.08468223338984,0.0,0.000251635260815583,4.0146711355138116e-05,0.00021148854946044488,3.0,10
70.113,3.442557136107933,3.46525710098918,1.0,313.77602531363226,267.7092646322737,0.0,0.0008605007151845503,0.00010797571169496003,0.0007525250034895902,5.0,10
72.751,-7.875507821998789,-7.848267864141296,1.0,456.7108810963078,350.84859020559327,0.0,0.0015393562458538962,0.00012602260614419952,0.0014133336397096968,6.0,10
67.595,-3.7157318585549732,-3.6975718866499747,1.0,271.9217864758938,213.55493637001229,0.0,0.0008848119673450631,7.84056764632277e-05,0.0008064062908818355,4.0,10
70.171,5.910340854689434,5.946660798499429,1.0,530.7542351333732,398.374069042753,0.0,0.0019167748834712046,0.00012645474922968482,0.0017903201342415196,8.0,10
79.242,0.780026614463043,0.7936465933917889,1.0,167.33989688576617,121.77082050845831,0.0,0.0005459009726540278,5.4219306105375114e-05,0.0004916816665486526,3.0,10
83.877,-6.9723111905717134,-6.940531239737978,1.0,472.03736176698754,365.61414320683406,0.0,0.0015975345265484542,0.0001333889016538348,0.0014641456248946194,7.0,10
78.349,-16.328246010401774,-16.30554604552053,1.0,324.54977545297567,256.97581505980173,0.0,0.0011556475358269038,9.013973462578525e-05,0.0010655078012011185,5.0,10
79.687,4.0786839297180855,4.110463880551816,1.0,367.5509000170106,271.18129211190694,0.0,0.0012268533443621004,0.00012857362025319534,0.001098279724108905,7.0,10
77.531,-0.39657460378185694,-0.3829546248531128,1.0,249.55981955009082,198.44119958723087,0.0,0.0007799326197476526,5.0303243263760545e-05,0.0007296293764838921,3.0,10
83.264,-8.60819831411726,-8.594578335188508,1.0,175.65034381082455,133.76908286264944,0.0,0.0005852029891579427,5.670898937477034e-05,0.0005284939997831723,3.0,10
80.114,-5.829542436784929,-5.811382464879931,1.0,281.7268109967615,205.9260978034655,0.0,0.0010088326623229366,8.340613857920671e-05,0.0009254265237437299,4.0,10
81.464,-2.8148520808175905,-2.805772094865093,1.0,103.05993985003026,65.99994844288314,0.0,0.00032788460024823173,3.290433651827173e-05,0.00029498026372996,2.0,10
77.069,-10.948164509138303,-10.920924551280814,1.0,420.2774911190436,283.60261826815156,0.0,0.0014181695760711798,9.740044557972441e-05,0.0013207691304914554,6.0,10
78.28,-7.599061823336704,-7.567281872502959,1.0,478.8466256155969,372.42523208970493,0.0,0.0014401878691371382,0.00014815893652917378,0.0012920289326079643,7.0,10
60.985,-6.446471370053347,-6.414691419219606,1.0,579.6096691751665,459.557031769316,0.0,0.0019184421154982015,0.0001515149059431911,0.0017669272095550107,7.0,10
82.867,-1.711150114294989,-1.6884501494137472,1.0,364.02107153824494,301.2066838456491,0.0,0.001193537329822565,9.373979237946561e-05,0.0010997975374430996,5.0,10
87.997,-17.869287139035578,-17.84204718117808,1.0,457.7535333480478,335.64750263648455,0.0,0.001391391129205948,0.00012533074036644203,0.001266060388839506,6.0,10
87.872,3.3778520711460684,3.400552036027312,1.0,439.3297207322834,379.91711393479557,0.0,0.001713025715494024,0.00010339014233169183,0.001609635573162332,5.0,10
77.748,-4.448247229824376,-4.416467278990638,1.0,425.03763038038755,309.30082054114115,0.0,0.0011347116683387073,0.00014011796099950574,0.0009945937073392015,7.0,10
86.007,-9.80617667662283,-9.774396725789101,1.0,453.0739775901786,342.09738271574184,0.0,0.0013747080020070418,0.0001353168089190601,0.0012393911930879819,7.0,10
85.204,-4.150474103255011,-4.145934110278762,1.0,84.35585905680223,54.99995703573595,0.0,0.0002764925327939337,1.527679163610473e-05,0.00026121574115782893,1.0,10
76.703,-2.122664276742455,-2.1045043048374596,1.0,229.520236171869,170.54559295210126,0.0,0.0007546325514326635,5.759810314566044e-05,0.000697034448287003,4.0,10
